name,brewer_id,abv,style_id
John Harvards Simcoe IPA,8481,5.4,1
John Harvards Cristal Pilsner,8481,5.0,2
John Harvards Fancy Lawnmower Beer,8481,5.4,3
John Harvards Vanilla Black Velvet Stout,8481,0.0,4
John Harvards American Brown Ale,8481,0.0,5
John Harvards Grand Cru,8481,7.0,6
John Harvards Belgian Tripel,8481,8.5,7
John Harvards Cassis Wit,8481,0.0,8
John Harvards Dr. Jekyll and Mr. Mild,8481,3.8,9
John Harvards Yin Yang Lager,8481,4.5,10
Barley Island Barrel-Aged Count Hopula,3228,8.0,11
Barley Island Dirty &quot;Old&quot; Helen Sour Ale,3228,0.0,12
Barley Island Sinister Minister Belgian Black Ale,3228,6.7,13
Barley Island Goldilocks Belgian Blond,3228,7.0,6
Barley Island Barfly IPA,3228,6.5,1
Barley Island Maibock,3228,5.0,14
Barley Island Dirty Helen Brown Ale,3228,4.3,5
Barley Island Rust Belt Porter,3228,4.1,15
Barley Island Cask Ale,3228,0.0,16
Barley Island Belgian Witbier,3228,0.0,8
Barley Island Humbugger Christmas Ale,3228,9.3,17
Barley Island Franken Imperial Stout,3228,10.5,18
Barley Island Brass Knuckles Oatmeal Stout,3228,4.9,4
Barley Island Count Hopula Imperial IPA,3228,8.0,11
Barley Island Bourbon Barrel-Aged Raspberry Oatmeal Stout,3228,0.0,4
Barley Island Cask English Brown,3228,0.0,5
Barley Island Damien,3228,8.9,19
Barley Island Blonde Ambition,3228,0.0,20
Barley Island 80 Schilling Export Ale &#40;2008 Replic Ale&#41;,3228,0.0,21
Barley Island Oak Aged Sinister Minister Belgian Black Ale,3228,7.0,6
Barley Island Beastie Barrel Stout,3228,6.0,22
Barley Island Barrel Aged Barfly,3228,0.0,1
Barley Island 60 Shilling Scotch Ale,3228,5.0,23
Barley Island Bourbon Barrel-Aged Blackberry Oatmeal Stout,3228,0.0,4
Barley Island Dubbel,3228,9.0,24
Barley Island Black Majic Java Stout,3228,4.9,22
Barley Island Muscles From Brussels Belgian-Style Black IPA,3228,10.2,19
Barley Island Bourbon Barrel Aged Imperial Stout,3228,0.0,18
Barley Island Shagbark Farmhouse Ale,3228,0.0,25
Whose Ear Imperial Red,3228,9.5,11
Barley Island New Harmony Naked Dunkel ReplicAle,3228,0.0,26
Barley Island Blind Tiger Pale Ale,3228,4.8,27
Barley Island Sheet Metal Blonde,3228,0.0,8
Barley Island Single White Friar Ale,3228,10.0,19
Barley Island Barrel Aged 2009 Replicale,3228,5.0,28
Barley Island Beastie Barrel Porter,3228,0.0,15
Barley Island 2009 Replicale,3228,0.0,28
Barley Island Flat Belly Wheat &#40;Flat Top&#41;,3228,3.6,29
Lucky Bucket Certified Evil 2009,10325,12.5,30
Lucky Bucket Collaborative Evil 2009 &#40;Omaha&#41;,10325,8.0,19
Lucky Bucket IPA,10325,6.3,1
Lucky Bucket Oktoberfest,10325,0.0,31
Lucky Bucket Collaborative Evil 2010,10325,0.0,32
Lucky Bucket Smashed,10325,5.0,12
